from_city,to_city,operator,travel_time_min,frequency_per_day,night_train,iso_code,capacity_seats,avg_pass_per_train_km_eurostat,load_factor_implied,distance_km,rail_demand_proxy,fallback_used
Cologne,Frankfurt,Germany,37,179.1,True,DE,490,120.59,0.2461,152.6,3295890.6,False
Cologne,Liege,Germany,51,26.0,False,DE,490,120.59,0.2461,102.7,322007.9,False
Cologne,Munich,Germany,409,6.0,True,DE,490,120.59,0.2461,456.0,329942.9,False
Cologne,Strasbourg,Germany,260,0.9,True,DE,490,120.59,0.2461,267.4,29021.9,False
Cologne,Stuttgart,Germany,169,18.0,False,DE,490,120.59,0.2461,287.5,624069.6,False
Cologne,Utrecht,Netherlands,161,0.4,False,NL(fallback=EU_median),290,93.32,0.3218,180.4,6734.1,True
Cologne,Zurich,Switzerland,481,0.1,False,CH,400,106.06,0.2651,413.3,4383.4,False
Dortmund,Berlin,Germany,186,1.0,True,DE,490,120.59,0.2461,421.8,50866.2,False
Dortmund,Bremen,Germany,105,48.9,True,DE,490,120.59,0.2461,196.1,1156402.8,False
Dortmund,Duisburg,Netherlands,35,0.8,False,NL(fallback=EU_median),290,93.32,0.3218,49.4,3688.1,True
Dortmund,Essen,Germany,4,785.7,True,DE,490,120.59,0.2461,32.1,3041476.4,False
Dortmund,Frankfurt,Germany,136,6.4,False,DE,490,120.59,0.2461,177.6,137071.0,False
Dortmund,Hannover,Germany,81,63.0,True,DE,490,120.59,0.2461,182.2,1384240.6,False
Dortmund,Leipzig,Germany,261,1.1,False,DE,490,120.59,0.2461,340.6,45181.4,False
Dortmund,Munich,Netherlands,477,2.1,True,NL(fallback=EU_median),290,93.32,0.3218,477.3,93539.8,True
Dortmund,Nuremberg,Germany,313,16.5,True,DE,490,120.59,0.2461,343.1,682696.0,False
Dortmund,Utrecht,Netherlands,165,0.2,False,NL(fallback=EU_median),290,93.32,0.3218,173.4,3236.4,True
Dresden,Berlin,Germany,82,26.3,False,DE,490,120.59,0.2461,165.4,524582.7,False
Dresden,Leipzig,Germany,41,66.7,True,DE,490,120.59,0.2461,100.5,808378.2,False
Duisburg,Cologne,Germany,43,5.1,True,DE,490,120.59,0.2461,57.0,35056.4,False
Duisburg,Dortmund,Germany,25,2.7,True,DE,490,120.59,0.2461,49.4,16084.7,False
Duisburg,Dusseldorf,Germany,4,582.3,True,DE,490,120.59,0.2461,23.3,1636158.5,False
Duisburg,Essen,Germany,3,557.2,True,DE,490,120.59,0.2461,17.3,1162465.0,False
Duisburg,Utrecht,Germany,85,8.4,True,DE,490,120.59,0.2461,134.7,136448.7,False
Dusseldorf,Cologne,Germany,3,501.4,True,DE,490,120.59,0.2461,34.4,2080010.1,False
Dusseldorf,Dortmund,Germany,59,0.1,False,DE,490,120.59,0.2461,57.7,695.8,False
Dusseldorf,Duisburg,Germany,3,602.8000000000001,True,DE,490,120.59,0.2461,23.3,1693759.9,False
Dusseldorf,Essen,Germany,3,224.9,False,DE,490,120.59,0.2461,30.6,829914.9,False
Dusseldorf,Utrecht,Netherlands,108,1.5,False,NL(fallback=EU_median),290,93.32,0.3218,149.6,20941.5,True
Essen,Bremen,Germany,118,0.7,False,DE,490,120.59,0.2461,217.6,18368.7,False
Essen,Cologne,Germany,54,2.4,True,DE,490,120.59,0.2461,58.3,16873.4,False
Essen,Dortmund,Germany,4,770.2,True,DE,490,120.59,0.2461,32.1,2981475.3,False
Essen,Duisburg,Germany,4,542.1999999999999,True,DE,490,120.59,0.2461,17.3,1131171.1,False
Essen,Dusseldorf,Germany,3,255.8,True,DE,490,120.59,0.2461,30.6,943940.5,False
Essen,Hamburg,Germany,167,2.0,False,DE,490,120.59,0.2461,308.0,74285.4,False
Essen,Hannover,Germany,137,2.9,False,DE,490,120.59,0.2461,212.5,74315.5,False
Frankfurt,Berlin,Germany,220,34.0,True,DE,490,120.59,0.2461,423.7,1737240.9,False
Frankfurt,Cologne,Germany,41,183.7,True,DE,490,120.59,0.2461,152.6,3380542.2,False
Frankfurt,Dortmund,Germany,139,7.4,False,DE,490,120.59,0.2461,177.6,158488.4,False
Frankfurt,Dusseldorf,Germany,196,0.6,True,DE,490,120.59,0.2461,182.2,13183.2,False
Frankfurt,Hannover,Germany,127,90.9,True,DE,490,120.59,0.2461,261.2,2863253.0,False
Frankfurt,Leipzig,Germany,174,58.3,True,DE,490,120.59,0.2461,293.0,2059960.3,False
Frankfurt,Munich,Germany,380,0.1,True,DE,490,120.59,0.2461,304.3,3669.6,False
Frankfurt,Nuremberg,Germany,107,62.4,False,DE,490,120.59,0.2461,186.9,1406425.0,False
Frankfurt,Paris,France,233,3.5,False,FR,450,276.35,0.6141,478.5,462818.6,False
Frankfurt,Strasbourg,Germany,99,61.5,True,DE,490,120.59,0.2461,183.4,1360182.3,False
Frankfurt,Stuttgart,Germany,74,129.6,True,DE,490,120.59,0.2461,152.5,2383403.2,False
Geneva,Lyon,France,71,60.2,False,FR,450,276.35,0.6141,112.2,1866595.2,False
Geneva,Milan,Italy,253,15.0,False,IT,400,160.06,0.4001,249.7,599487.7,False
Geneva,Paris,France,158,68.2,False,FR,450,276.35,0.6141,410.0,7727322.4,False
Geneva,Zurich,Switzerland,165,183.4,False,CH,400,106.06,0.2651,224.2,4360983.3,False
Genoa,Milan,Italy,39,323.0,False,IT,400,160.06,0.4001,119.4,6172730.9,False
