scenario,p_disrupt,city,avg_stranded,avg_index
C,0.8,Cologne,1.0,0.004
C,0.8,Vienna,2.4444444444444446,0.009333333333333332
C,0.8,Geneva,3.142857142857143,0.017714285714285714
C,0.8,Frankfurt,6.875,0.013625000000000002
C,0.8,Paris,7.333333333333333,0.010222222222222223
C,0.8,Stuttgart,1.5714285714285714,0.013285714285714286
C,0.8,Murcia,10.166666666666666,0.28983333333333333
C,0.8,Venice,2.2,0.014799999999999999
C,0.8,Lyon,1.0,0.008333333333333333
C,0.8,Toulouse,2.25,0.018625
C,0.8,Amsterdam,5.888888888888889,0.012888888888888887
C,0.8,Hamburg,3.0,0.011000000000000001
C,0.8,Munich,4.625,0.010625
C,0.8,Lisbon,56.888888888888886,0.2132222222222222
C,0.8,Madrid,17.88888888888889,0.03411111111111112
C,0.8,Barcelona,7.888888888888889,0.017
C,0.8,Palma,3.888888888888889,0.019000000000000003
C,0.8,Zurich,3.5,0.012125
C,0.8,Rotterdam,1.0,0.007
C,0.8,Valencia,4.0,0.06483333333333334
C,0.8,Milan,5.222222222222222,0.011333333333333334
C,0.8,Marseille,1.75,0.013999999999999999
C,0.8,Porto,39.77777777777778,0.3164444444444444
C,0.8,Brussels,2.0,0.006375
C,0.8,London,13.666666666666666,0.02
C,0.8,Berlin,2.25,0.006125
C,0.8,Rome,4.777777777777778,0.013444444444444446
C,0.8,Seville,3.0,0.02375
A,0.9,Strasbourg,4.2,0.022600000000000002
A,0.9,Duisburg,39.7,0.29169999999999996
A,0.9,Geneva,6.4,0.035300000000000005
A,0.9,Frankfurt,31.4,0.0613
A,0.9,Paris,44.9,0.06100000000000001
A,0.9,Venice,5.0,0.0354
A,0.9,Antwerp,20.5,0.36
A,0.9,Hamburg,61.9,0.22149999999999997
A,0.9,Bremen,33.3,0.31689999999999996
A,0.9,Nuremberg,10.9,0.0698
A,0.9,Rotterdam,46.3,0.34199999999999997
A,0.9,Palermo,2.4285714285714284,0.055714285714285716
A,0.9,London,170.6,0.2507
A,0.9,Liege,13.1,0.24910000000000002
A,0.9,Rome,16.0,0.0452
A,0.9,Seville,3.125,0.024625
A,0.9,Utrecht,44.4,0.32430000000000003
A,0.9,Hannover,23.5,0.13240000000000002
A,0.9,Cologne,39.6,0.1523
A,0.9,Vienna,15.11111111111111,0.057444444444444444
A,0.9,Leipzig,4.2,0.0328
A,0.9,Dortmund,60.1,0.3237
A,0.9,Lille,22.2,0.3215
A,0.9,Naples,1.0,0.025
A,0.9,Dusseldorf,45.3,0.31409999999999993
A,0.9,Stuttgart,3.0,0.024444444444444446
A,0.9,Lyon,1.625,0.012625
A,0.9,Toulouse,4.0,0.0327
A,0.9,Amsterdam,117.2,0.2592
A,0.9,Munich,24.5,0.056900000000000006
A,0.9,Essen,50.7,0.318
A,0.9,Lisbon,11.8,0.0442
A,0.9,The Hague,24.1,0.3099
A,0.9,Madrid,22.4,0.04259999999999999
A,0.9,Barcelona,20.5,0.045
A,0.9,Palma,10.6,0.0518
A,0.9,Zurich,14.4,0.0484
A,0.9,Milan,18.3,0.03899999999999999
A,0.9,Marseille,3.25,0.025875000000000002
A,0.9,Porto,6.0,0.0484
A,0.9,Turin,3.1,0.027800000000000002
A,0.9,Brussels,94.5,0.30979999999999996
A,0.9,Berlin,30.2,0.07909999999999999
B,0.9,Strasbourg,3.2857142857142856,0.019571428571428573
B,0.9,Hannover,2.6666666666666665,0.014666666666666668
B,0.9,Cologne,2.5714285714285716,0.01
B,0.9,Vienna,4.571428571428571,0.01742857142857143
B,0.9,Leipzig,1.7142857142857142,0.01257142857142857
B,0.9,Geneva,4.428571428571429,0.02457142857142857
B,0.9,Frankfurt,7.285714285714286,0.014142857142857143
B,0.9,Paris,10.428571428571429,0.014142857142857141
B,0.9,Stuttgart,1.4,0.0112
B,0.9,Venice,2.0,0.0134
B,0.9,Amsterdam,3.5714285714285716,0.007714285714285714
B,0.9,Hamburg,6.571428571428571,0.023857142857142858
B,0.9,Munich,6.0,0.013857142857142858
B,0.9,Lisbon,3.7142857142857144,0.014428571428571428
B,0.9,Madrid,5.285714285714286,0.01042857142857143
B,0.9,Palma,2.4285714285714284,0.011571428571428571
B,0.9,Barcelona,3.857142857142857,0.008285714285714287
B,0.9,Zurich,93.57142857142857,0.31857142857142856
B,0.9,Rotterdam,1.0,0.008
B,0.9,Milan,10.0,0.02142857142857143
B,0.9,Marseille,1.4,0.0108
B,0.9,Porto,1.8571428571428572,0.014571428571428572
B,0.9,Palermo,1.0,0.02525
